%%%DateTime	ms since program start
2016-08-17T16:13:04.870-07:00	14109
430900	3
430904	-3
430921	3
430938	-3
430954	3
431054	-3
431087	3
431155	-3
431189	3
431223	-3
431372	3
431387	-3
431855	3
432355	-3
432373	3
432406	-3
432958	3
432972	-3
433022	3
433323	-3
433338	3
433737	-3
433755	3
433771	-3
434224	3
434254	-3
434272	3
434787	-3
434808	3
434838	-3
434871	3
434891	-3
435388	3
435675	-3
1078986	5
1079001	-5
1084419	5
1084434	-5
1102751	1
1102901	-1
1104232	2
1104249	-2
1104551	2
1104582	-2
1107050	3
1107136	-3
1109516	4
1109550	-4
1112182	5
1112200	-5
1114450	6
1114467	-6
1523464	3
1523480	-3
1523495	3
1523543	-3
1523564	3
1523896	-3
1622279	5
1622294	-5
1622830	5
1622846	-5
1623709	5
1623727	-5
1624895	5
1624913	-5
1625509	5
1625544	-5
1625560	5
1625609	-5
1625645	5
1625697	-5
1625710	5
1625760	-5
1625794	5
1625813	-5
1625880	5
1625913	-5
1625942	5
1625976	-5
1626112	5
1626129	-5
1626164	5
1626194	-5
1626227	5
1626244	-5
1626746	5
1626760	-5
1627944	5
1627961	-5
1629478	5
1629494	-5
1631827	5
1631843	-5
1633980	5
1633995	-5
1634429	5
1634442	-5
1634860	5
1634876	-5
1634925	5
1634943	-5
1635010	5
1635028	-5
1635078	5
1635114	-5
1635142	5
1635179	-5
1635230	5
1635243	-5
1635297	5
1635311	-5
1636129	5
1636146	-5
1636709	5
1636730	-5
1639029	5
1639044	-5
1642212	5
1642229	-5
1810721	5
1810751	-5
1811301	5
1811319	-5
1814452	5
1814468	-5
1815051	5
1815071	-5
1815753	5
1815769	-5
1816086	5
1816100	-5
1816154	5
1816167	-5
1816187	5
1816220	-5
1816322	5
1816451	-5
1816484	5
1816517	-5
1816536	5
1816550	-5
1816967	5
1817038	-5
1817184	5
1817621	-5
1818067	5
1818121	-5
1818134	5
1818152	-5
1818220	5
1818303	-5
1818337	5
1818487	-5
1818584	5
1818605	-5
1820067	5
1820153	-5
1820170	5
1820187	-5
1820202	5
1820220	-5
1820234	5
1820270	-5
1820368	5
1820420	-5
1820452	5
1820551	-5
1820570	5
1820635	-5
1820653	5
1820670	-5
1820734	5
1820751	-5
1821134	5
1821201	-5
1821336	5
1821351	-5
1821389	5
1821435	-5
1821453	5
1821718	-5
1821734	5
1821967	-5
1821984	5
1822018	-5
1823401	5
1823418	-5
1823454	5
1823467	-5
1823518	5
1823534	-5
1823551	5
1823568	-5
1823584	5
1823600	-5
1823651	5
1823667	-5
1823701	5
1823738	-5
1823769	5
1823934	-5
1823953	5
1823967	-5
1823984	5
1824001	-5
1824034	5
1824051	-5
1824553	5
1824567	-5
1824650	5
1824817	-5
1824837	5
1825201	-5
1825218	5
1825251	-5
1825286	5
1825318	-5
1825351	5
1825384	-5
1825437	5
1825451	-5
1825850	5
1825868	-5
1825884	5
1825917	-5
1825934	5
1825969	-5
1826351	5
1826401	-5
2373037	4
2373236	-4
2373320	4
2373337	-4
2373820	4
2373837	-4
2373954	4
2373970	-4
2377452	4
2377469	-4
2377988	4
2378004	-4
2379037	4
2379053	-4
2380871	4
2380905	-4
2381669	4
2381684	-4
2389105	4
2389120	-4
2390136	4
2390153	-4
2391268	4
2391286	-4
2391788	4
2391803	-4
2393787	4
2393804	-4
2397233	4
2397254	-4
2398270	4
2398287	-4
2398803	4
2398820	-4
2399421	4
2399436	-4
2487519	4
2487535	-4
